지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃)
서울,10-Jan,-4.5,-0.7,8.4,2010-01-20,-8.1,-15.3
서울,10-Feb,1.4,4.9,17.9,2010-02-24,-1.7,-10.8
서울,10-Mar,4.3,8.1,14.2,2010-03-30,0.5,-4
서울,10-Apr,9.5,14,20.7,2010-04-20,5.6,1.1
서울,10-May,17.2,22,28.6,2010-05-21,13,5.8
서울,10-Jun,23.4,28.2,32.7,2010-06-10,19.3,12.1
서울,10-Jul,25.8,29.3,32.3,2010-07-20,23.1,21
서울,10-Aug,26.5,30,33.8,2010-08-05,23.8,19.9
서울,10-Sep,21.8,26,31.4,2010-09-01,18.5,8.4
서울,10-Oct,14.5,19.3,24.2,2010-10-09,10.4,0.7
서울,10-Nov,6.5,11.3,17.4,2010-11-13,2.5,-5.2
서울,10-Dec,-1.3,3.1,13.5,2010-12-02,-5.1,-15.1
서울,11-Jan,-7.2,-3.4,0.3,2011-01-14,-10.5,-17.8
서울,11-Feb,1.2,5.9,13.2,2011-02-26,-2.5,-9.2
서울,11-Mar,3.6,8.3,16.8,2011-03-31,-0.1,-5.5
서울,11-Apr,10.7,15.6,19,2011-04-15,6.8,4.3
서울,11-May,17.9,23,31.2,2011-05-29,13.6,8.5
서울,11-Jun,22,26.6,32.9,2011-06-19,18.4,14.4
서울,11-Jul,24.6,28,34.1,2011-07-18,22,18.9
서울,11-Aug,25.8,29.5,34.1,2011-08-05,23,18.1
서울,11-Sep,21.8,26.6,32.4,2011-09-02,17.7,10.3
서울,11-Oct,14.2,19.3,23.4,2011-10-13,9.7,3.1
서울,11-Nov,10.7,14.7,25.9,2011-11-05,7.2,-5.5
서울,11-Dec,-0.9,2.9,9.1,2011-12-03,-4.1,-10.6
서울,12-Jan,-2.8,1.3,8.4,2012-01-19,-6.3,-12.2
서울,12-Feb,-2,3,12.1,2012-02-22,-6,-17.1
서울,12-Mar,5.1,9.5,16.2,2012-03-29,1.5,-5.7
서울,12-Apr,12.3,17.9,29.4,2012-04-30,7.8,0.6
서울,12-May,19.7,25.1,29.3,2012-05-22,15.4,12
서울,12-Jun,24.1,29.7,33.5,2012-06-19,20,16.3
서울,12-Jul,25.4,29,33.2,2012-07-29,22.4,18.5
서울,12-Aug,27.1,30.9,36.7,2012-08-05,23.9,18.7
서울,12-Sep,21,25,29.5,2012-09-02,17.4,12
서울,12-Oct,15.3,20.5,26,2012-10-03,11,2.8
서울,12-Nov,5.5,9.5,15.7,2012-11-03,1.8,-3
서울,12-Dec,-4.1,-0.5,8.3,2012-12-15,-7.4,-14.5
서울,13-Jan,-3.4,0.3,11.5,2013-01-31,-6.6,-16.4
서울,13-Feb,-1.2,2.8,13.9,2013-02-28,-4.9,-15.8
서울,13-Mar,5.1,10.8,23.8,2013-03-09,0.7,-4.4
서울,13-Apr,10,15,21.6,2013-04-28,5.7,1.3
서울,13-May,18.2,23.6,31.8,2013-05-25,13.7,7.9
서울,13-Jun,24.4,29.2,32.6,2013-06-29,20.5,16.3
서울,13-Jul,25.5,28.3,31.3,2013-07-01,23.4,20.5
서울,13-Aug,27.7,31.1,33.9,2013-08-21,24.8,21.1
서울,13-Sep,21.8,25.9,31.1,2013-09-18,18,10.9
서울,13-Oct,15.8,21.2,28.1,2013-10-05,10.9,4.3
서울,13-Nov,6.2,10.7,20.7,2013-11-01,2.1,-6.4
서울,13-Dec,-0.2,3.5,11,2013-12-07,-3.5,-9.8
서울,14-Jan,-0.7,3.5,8.2,2014-01-29,-4.9,-10.5
서울,14-Feb,1.9,6.6,16.4,2014-02-26,-1.8,-10.5
서울,14-Mar,7.9,13.1,23.8,2014-03-28,3.5,-4.6
서울,14-Apr,14,19.6,26.2,2014-04-24,9.4,2.3
서울,14-May,18.9,25.3,33.3,2014-05-31,13.8,6.8
서울,14-Jun,23.1,27.8,31.1,2014-06-06,19.7,17.3
서울,14-Jul,26.1,30.6,34.4,2014-07-31,22.9,19.1
서울,14-Aug,25.2,29,35.8,2014-08-02,22.1,18.3
서울,14-Sep,22.1,27,31.3,2014-09-07,18,14.9
서울,14-Oct,15.6,21.4,29,2014-10-12,10.7,2.7
서울,14-Nov,9,13.8,22.9,2014-11-01,4.9,-3.1
서울,14-Dec,-2.9,1.5,7.9,2014-12-01,-6.7,-13.2
서울,15-Jan,-0.9,3.6,9,2015-01-15,-4.8,-9.8
서울,15-Feb,1,6,13,2015-02-15,-2.9,-13
서울,15-Mar,6.3,12.4,21.9,2015-03-20,1,-6.9
서울,15-Apr,13.3,18.8,28.3,2015-04-30,8.4,3.5
서울,15-May,18.9,24.9,32.2,2015-05-28,13.6,8.3
