시도,지역구분,최대 보조금(만원)/승용
서울,서울특별시,1700
부산,부산광역시,1700
대구,대구광역시,1800
인천,인천광역시,1800
광주,광주광역시,1900
대전,대전광역시,1900
울산,울산광역시,1700
세종,세종특별자치시,1900
경기,수원시,1700
경기,성남시,1700
경기,의정부시,1700
경기,안양시,1700
경기,부천시,1700
경기,광명시,1700
경기,평택시,75
경기,동두천시,1700
경기,안산시,1700
경기,고양시,1700
경기,과천시,1700
경기,남양주시,1700
경기,오산시,1700
경기,시흥시,1700
경기,군포시,1700
경기,의왕시,1700
경기,하남시,1700
경기,용인시,1700
경기,파주시,1700
경기,이천시,1700
경기,안성시,1700
경기,김포시,1700
경기,화성시,1700
경기,광주시,1700
경기,양주시,1700
경기,포천시,1700
경기,여주시,1700
경기,구리시,1700
경기,연천군,1700
경기,가평군,1700
경기,양평군,1700
강원,원주시,1840
강원,강릉시,1840
강원,동해시,1840
강원,태백시,1840
강원,태백시,1840
강원,속초시,1840
강원,삼척시,2040
강원,홍천군,1840
강원,횡성군,1840
강원,영월군,1840
강원,평창군,1840
강원,철원군,1840
강원,화천군,
강원,화천군,
전국,양구군,1840
강원,양구군,1840
강원,인제군,1840
강원,고성군,1840
강원,양양군,1840
충북,청주시,2200
충북,청주시,
충북,충주시,2000
충북,제천시,2000
충북,보은군,2000
충북,옥천군,2000
충북,영동군,2000
충북,증평군,2000
충북,진천군,2000
충북,괴산군,2000
충북,음성군,2000
충북,단양군,2000
충남,천안시,2200
충남,공주시,2000
충남,보령시,2000
충남,아산시,2100
충남,서산시,2200
충남,논산시,2000
충남,당진시,2000
충남,계룡시,2200
충남,금산군,2000
충남,부여군,2000
충남,서천군,2000
충남,청양군,
충남,홍성군,2000
충남,예산군,2000
충남,예산군,2000
충남,태안군,2000
전북,전주시,1800
전북,군산시,1800
전북,익산시,1800
전북,정읍시,1800
전북,남원시,1800
전북,김제시,1800
전북,완주군,1800
전북,진안군,1800
전북,무주군,1800
전북,장수군,1800
전북,임실군,1800
전북,순창군,1800
전북,고창군,1800
전북,부안군,1800
전남,목포시,1860
전남,여수시,2300
전남,여수시,2300
전남,순천시,2080
전남,나주시,2080
전남,광양시,1950
전남,담양군,1750
전남,곡성군,1750
전남,구례군,1750
전남,고흥군,2080
전남,화순군,1860
전남,장흥군,1750
전남,강진군,1640
전남,해남군,1860
전남,영암군,1970
전남,영암군,1970
전남,무안군,1750
전남,영광군,1970
전남,장성군,2080
전남,완도군,1860
전남,신안군,1640
경북,포항시,1800
경북,경주시,1800
경북,김천시,1800
경북,안동시,1800
경북,구미시,1800
경북,영주시,1800
경북,영천시,1800
경북,영천시,350
경북,상주시,1800
경북,문경시,1800
경북,경산시,1800
경북,군위군,1800
경북,의성군,1800
경북,청송군,1800
경북,영양군,1800
경북,영덕군,1800
경북,청도군,1800
경북,고령군,1800
경북,성주군,1800
경북,칠곡군,1800
경북,예천군,1800
경북,봉화군,1800
경북,울진군,1800
경북,울릉군,2100
경남,창원시,1900
경남,진주시,1800
경남,통영시,
경남,사천시,1800
경남,김해시,2100
경남,밀양시,1800
경남,거제시,1800
경남,양산시,1900
경남,의령군,1800
경남,의령군,1800
경남,함안군,1800
경남,창녕군,1800
경남,창녕군,
경남,고성군,1800
전국,남해군,2000
경남,남해군,2000
경남,하동군,1800
경남,산청군,2000
경남,산청군,2000
경남,함양군,1800
경남,거창군,1800
경남,합천군,2000
제주,제주시,1800
전국,한국환경공단,1200
